!!SBtab TableID='t_id_01' TableName='Reaction' TableType='Reaction' Document='Model' SBtabVersion='1.0'				
!ID	!ReactionFormula	!Name	!Identifiers:kegg.reaction	!IsReversible
GLI_GLUNim	Glutamine_ex <=> Glutamine	Gln transport		True
GTS_GLTEsy	M_adp_m + Glutamine + M_pi_m <=> M_atp_m + M_glu_L_m + M_nh4_m	Gln synthetase		True
R_GLUDym	M_glu_L_m + M_nadp_m <=> M_akg_m + M_nadph_m + M_nh4_m	Glu dehydrogenase		True
R_AKGDam	M_akg_m + M_coa_m + M_nad_m <=> M_co2_m + M_nadh_m + M_succoa_m	AKGD	R01197	False
R_SUCOAS1m	M_adp_m + M_pi_m + M_succoa_m <=> M_atp_m + M_coa_m + M_succ_m	SUCLG	R00405	True
R_SUCD2_u6m	M_q6_m + M_succ_m <=> M_fum_m + M_q6h2_m	SUCD		True
R_FUMm	M_fum_m <=> M_mal_L_m	FUM	R01082	True
R_MDHm	M_mal_L_m + M_nad_m <=> M_nadh_m + M_oaa_m	MDH	R00342	True
R_CSm	M_accoa_m + M_oaa_m <=> M_cit_m + M_coa_m	CS		False
R_ACL	M_atp_m + M_cit_m + M_coa_c <=> M_accoa_c + M_adp_m + M_oaa_c + M_pi_m	ACL		False
R_ACONTm	M_cit_m <=> M_icit_m	ACO	R01324	True
R_ICDHym	M_akg_m + M_co2_m + M_nadph_m <=> M_icit_m + M_nadp_m	IDH(NADP)	R00267	True
R_ICDHxm	M_icit_m + M_nad_m <=> M_akg_m + M_co2_m + M_nadh_m	IDH(NAD)	R00709	False
ASS_ASPAsy	M_oaa_m <=> M_asp_L_c	Asp synthesis		True
ASC_ASPAcons	M_asp_L_c <=> AspartateSink	Asp consumption		True
PYS_PYRIsy	M_asp_L_c <=> M_co2_m + Pyrimidines	Pyr synthesis		True
R_PC	M_atp_m + M_hco3_m + M_pyr_m <=> M_adp_m + M_oaa_m + M_pi_m	PC	R00344	False
R_ALCD2m	M_coa_m + M_nad_m + M_pyr_m <=> M_accoa_m + M_co2_m + M_nadh_m	PDH		True
R_ME1m	M_mal_L_m + M_nad_m <=> M_co2_m + M_nadh_m + M_pyr_m	ME	R00214	False
%				
!!SBtab TableID='t_id_02' TableName='Compound' TableType='Compound' Document='Model' SBtabVersion='1.0'				
!ID	!Name	!Identifiers:kegg.compound	!IsConstant	
M_accoa_m	Acetyl-CoA[m]	C00024	False	
M_accoa_c	Acetyl-CoA[c]	C00024	True	
M_adp_m	ADP	C00008	True	
M_akg_m	AKG	C00026	False	
M_asp_L_c	Asp	C00049	False	
AspartateSink	AspartateSink		True	
M_atp_m	ATP	C00002	True	
M_cit_m	Citrate	C00158	False	
M_co2_m	CO2	C00011	True	
M_coa_m	CoA[m]	C00010	True	
M_coa_c	CoA[c]	C00010	True	
M_fum_m	Fumarate	C00122	False	
M_glu_L_m	Glutamate	C00025	False	
Glutamine	Glutamine	C00064	False	
Glutamine_ex	Glutamine[ext]	C00064	True	
M_hco3_m	HCO3	C00288	True	
M_icit_m	Isocitrate	C00311	False	
M_mal_L_m	Malate	C00149	False	
