!!SBtab TableType='Quantity' !Organism='Escherichia coli'
!QuantityType	!Gene:LocusName	!Abundance	!Value	!SizeWeightedAbundance	!SizeWeightedAbundancePPM	!Size	!Gene	!Gene:Identifiers:kegg.orthology	!Pathway
concentration of enzyme	b3339	39226.0	18365.0576056	13729100.0	20866.0520952	350	TufA	K02358	Translation factors
concentration of enzyme	b4015	32244.0	15096.1840982	13993896.0	21268.4999709	434	AceA	K01637	Glyoxylate and dicarboxylate metabolism
concentration of enzyme	b3908	26458.0	12387.2608507	5450348.0	8283.6635544	206	SodA	K04564	Other enzymes
concentration of enzyme	b1094	25542.0	11958.4026248	8939700.0	13586.9245555	350	AcpP	K02078	Fatty acid biosynthesis
concentration of enzyme	b2096	23272.0	10895.620777	6609248.0	10045.0075444	284	GatY	K08302	Galactose metabolism
concentration of enzyme	b4000	22805.0	10676.9779915	2052450.0	3119.39811224	90	HupA	K05787	Transcription factors
concentration of enzyme	b3236	19723.0	9234.02924476	6153576.0	9352.45845595	312	Mdh	K00024	Citrate cycle
concentration of enzyme	b1237	19028.0	8908.64008869	2606836.0	3961.97680689	137	Hns	K03746	Chromosome-related
concentration of enzyme	b2093	19025.0	8907.23553118	1788350.0	2718.008046	94	GatB	K02774	Transporters
concentration of enzyme	b2417	18877.0	8837.94402745	3190213.0	4848.61721837	169	Crr	K02777	Transporters
concentration of enzyme	b2095	18619.0	8717.15208174	7819980.0	11885.1279445	420	GatZ	K00917	Galactose metabolism
concentration of enzyme	b0440	18125.0	8485.86827872	1631250.0	2479.24099032	90	HupB	K03530	Transcription factors
concentration of enzyme	b3460	17618.0	8248.49805984	6465806.0	9826.9984801	367	LivJ	K01999	Transporters
concentration of enzyme	b3495	16768.0	7850.54009918	5868800.0	8919.64415264	350	UspA	K06149	
concentration of enzyme	b1415	16751.0	7842.58093997	8023729.0	12194.7940733	479	AldA	K07248	Pyruvate metabolism
concentration of enzyme	b1482	16410.0	7682.92956987	5743500.0	8729.20804776	350	OsmC		
concentration of enzyme	b3510	16145.0	7558.86032331	5650750.0	8588.2427746	350	HdeA		
concentration of enzyme	b2414	15674.0	7338.34479452	5062702.0	7694.50318479	323	CysK	K01738	Cysteine and methionine metabolism
concentration of enzyme	b0329	14959.0	7003.59192173	5235650.0	7957.35668413	350	YahO		
concentration of enzyme	b1823	14959.0	7003.59192173	1032171.0	1568.73603201	69	CspC	K03704	Transcription factors
concentration of enzyme	b3986	13955.0	6533.53334232	1688555.0	2566.33549144	121	RplL	K02935	Ribosome
concentration of enzyme	b4142	13660.0	6395.41852068	1994360.0	3031.11053576	146	GroS	K04078	Chaperones and folding catalysts
concentration of enzyme	b2779	13564.0	6350.47268042	5859648.0	8905.7345658	432	Eno	K01689	Glycolysis / Gluconeogenesis
concentration of enzyme	b0605	13401.0	6274.15838914	2505987.0	3808.70233969	187	AhpC	K03386	Other enzymes
concentration of enzyme	b2609	13199.0	6179.58485026	1082318.0	1644.95150968	82	RpsP	K02959	Ribosome
concentration of enzyme	b2150	12026.0	5630.40286455	3992632.0	6068.16669037	332	MglB	K10540	Transporters
concentration of enzyme	b1779	11721.0	5487.60618455	3879651.0	5896.45350948	331	GapA	K00134	Glycolysis / Gluconeogenesis
concentration of enzyme	b3544	11444.0	5357.91870796	6122540.0	9305.28866384	535	Dppa	K12368	Transporters
concentration of enzyme	b2665	11283.0	5282.54078835	3949050.0	6001.92897032	350	YgaU		
concentration of enzyme	b0623	11174.0	5231.50853222	771006.0	1171.80669976	69	CspE	K03704	Transcription factors
concentration of enzyme	b2310	11135.0	5213.24928461	2895100.0	4400.09231637	260	ArgT	K10013	Transporters
concentration of enzyme	b3703	10643.0	4982.90185327	489578.0	744.080824864	46	RpmH	K02914	Ribosome
concentration of enzyme	b2926	10328.0	4835.42331491	3996936.0	6074.70808698	387	Pgk	K00927	Glycolysis / Gluconeogenesis
concentration of enzyme	b3065	10313.0	4828.40052736	732223.0	1112.86269772	71	RpsU	K02970	Ribosome
concentration of enzyme	b3315	10215.0	4782.51831543	1123650.0	1707.76958699	110	RplV	K02890	Ribosome
concentration of enzyme	b3312	10211.0	4780.64557209	643293.0	977.703218015	63	RpmC	K02904	Ribosome
concentration of enzyme	b4200	9865.0	4618.65327281	1292315.0	1964.11360638	131	RpsF	K02990	Ribosome
concentration of enzyme	b3341	9558.0	4474.92022113	1491048.0	2266.15621158	156	RpsG	K02992	Ribosome
concentration of enzyme	b3298	9555.0	4473.51566363	1127490.0	1713.60577727	118	RpsM	K02952	Ribosome
concentration of enzyme	b3302	9535.0	4464.1519469	562565.0	855.009475997	59	RpmD	K02907	Ribosome
concentration of enzyme	b3321	9338.0	4371.9193372	961814.0	1461.80456329	103	RpsJ	K02946	Ribosome
concentration of enzyme	b3303	9260.0	4335.40084199	1546420.0	2350.31285962	167	RpsE	K02988	Ribosome
concentration of enzyme	b2094	9189.0	4302.15964762	1378350.0	2094.87314575	150	GatA	K02773	Transporters
concentration of enzyme	b3313	8961.0	4195.413277	1218696.0	1852.2244156	136	RplP	K02878	Ribosome
concentration of enzyme	b4143	8928.0	4179.96314441	4892544.0	7435.89004245	548	GroL	K04077	Chaperones and folding catalysts
concentration of enzyme	b0811	8894.0	4164.04482598	2205712.0	3352.33201731	248	GlnH	K10036	Transporters
concentration of enzyme	b3231	8705.0	4075.55770297	1236110.0	1878.6909306	142	RplM	K02871	Ribosome
concentration of enzyme	b1136	8613.0	4032.48460605	3583008.0	5445.60325042	416	Icd	K00031	Citrate cycle
concentration of enzyme	b0169	8587.0	4020.31177431	2069467.0	3145.26125028	241	RpsB	K02967	Ribosome
concentration of enzyme	b1712	8533.0	3995.02973916	844767.0	1283.911708	99	IhfA	K04764	DNA replication control
concentration of enzyme	b3314	8441.0	3951.95664225	1966753.0	2989.1522792	233	RpsC	K02982	Ribosome
concentration of enzyme	b3305	8431.0	3947.27478389	1492287.0	2268.03929485	177	RplF	K02933	Ribosome
concentration of enzyme	b4034	8403.0	3934.16558048	3327588.0	5057.40540598	396	MalE	K10108	Transporters
concentration of enzyme	b3308	8400.0	3932.76102297	1503600.0	2285.23325857	179	RplE	K02931	Ribosome
concentration of enzyme	b3732	8399.0	3932.29283713	3863540.0	5871.96734759	460	AtpD	K02112	Oxidative phosphorylation
concentration of enzyme	b3309	8220.0	3848.48757248	854880.0	1299.28186226	104	RplX	K02895	Ribosome
concentration of enzyme	b3340	8036.0	3762.34137864	5657344.0	8598.2646076	704	FusA	K02355	Translation factors
concentration of enzyme	b0023	8014.0	3752.04129025	697218.0	1059.66065581	87	RpsT	K02968	Ribosome
concentration of enzyme	b0903	7998.0	3744.55031687	6078480.0	9238.32445968	760	PflB	K00656	Pyruvate metabolism
concentration of enzyme	b2925	7947.0	3720.67283923	2852973.0	4336.06596529	359	FbaA	K01624	Glycolysis / Gluconeogenesis
